Amostra,x1,x2,x3,x4,d
1,0.4329,-1.3719,0.7022,-0.8535,1.0
2,0.3024,0.2286,0.863,2.7909,-1.0
3,0.1349,-1.7163,0.367,-0.6283,-1.0
4,0.3347,-0.4985,0.6637,1.2606,1.0
5,1.1434,-0.0485,0.4661,1.3009,1.0
6,1.3749,-0.5071,0.4464,0.5592,-1.0
7,0.7221,-0.7587,0.6781,-3.1219,-1.0
8,0.8025,0.2708,0.5154,3.1109,-1.0
9,0.4403,0.3548,0.2538,1.5776,-1.0
10,0.3255,-2.0,0.7112,-1.1209,-1.0
11,0.5824,1.3915,-0.2291,4.1735,1.0
12,0.134,0.6081,0.445,3.223,-1.0
13,0.148,-0.2988,0.4778,0.8649,1.0
14,0.7359,0.1869,-0.0872,2.3584,1.0
15,0.7115,-1.1469,0.3394,0.9573,-1.0
16,0.8251,-1.284,0.8452,1.2382,-1.0
17,0.1569,0.3712,0.8825,1.7633,1.0
18,0.0033,0.6835,0.5389,2.8249,-1.0
19,0.4243,0.8313,0.2634,3.5855,-1.0
20,1.049,0.1326,0.9138,1.9792,1.0
21,1.4276,0.5331,-0.0145,3.7286,1.0
22,0.5971,1.4865,0.2904,4.6069,-1.0
23,0.8475,2.1479,0.3179,5.8235,-1.0
24,1.3967,-0.4171,0.6443,1.3927,1.0
25,0.0044,1.5378,0.6099,4.7755,-1.0
26,0.2201,-0.5668,0.0515,0.7829,1.0
27,0.63,-1.248,0.8591,0.8093,-1.0
28,-0.2479,0.896,0.0547,1.8001,-1.0
29,-0.3088,-0.0929,0.8659,1.5483,-1.0
30,-0.518,1.4974,0.5453,2.3993,1.0
31,0.6833,0.8266,0.0829,2.8864,1.0
32,0.4353,-1.4066,0.4207,-0.4879,1.0
33,-0.1069,-3.2329,0.1856,-2.4572,1.0
34,0.4662,0.6261,0.1856,-1.0,-1.0
35,0.8298,-1.4089,0.7304,3.437,-1.0
